Driver,dry_performance_factor,wet_performance_factor,dry_performance_factor_normalized,wet_performance_factor_normalized,dry_races_count,wet_races_count,dry_confidence,wet_confidence,is_rookie,team
ALB,1.943,-4.1,59.7,29.5,7,4,High,High,False,Williams
ALO,-2.457,-0.9,37.7,45.5,7,4,High,High,False,Aston Martin
ANT,-3.943,11.6,30.3,100.0,7,1,High,Low,False,Mercedes
BEA,2.743,3.6,63.7,68.0,7,2,High,High,False,Haas F1 Team
BOR,-0.8,-0.8,46.0,46.0,7,1,High,Low,False,Kick Sauber
BOT,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
COL,2.133,-0.8,60.7,46.0,3,1,High,Low,False,Alpine
DOO,-1.0,-4.0,45.0,30.0,4,1,High,Low,False,Alpine
GAS,-2.114,3.4,39.4,67.0,7,4,High,High,False,Alpine
HAD,1.771,-7.2,58.9,14.0,7,1,High,Low,False,Racing Bulls
HAM,4.4,3.4,72.0,67.0,7,4,High,High,False,Ferrari
HUL,1.771,3.8,58.9,69.0,7,4,High,High,False,Kick Sauber
LAW,0.229,-0.2,51.1,49.0,7,2,High,High,False,Racing Bulls
LEC,3.257,-1.2,66.3,44.0,7,4,High,High,False,Ferrari
MAG,0.0,2.8,50.0,64.0,0,2,Default,High,False,Unknown
NOR,3.886,0.8,69.4,54.0,7,4,High,High,False,McLaren
OCO,1.257,4.8,56.3,74.0,7,4,High,High,False,Haas F1 Team
PER,0.0,0.533,50.0,52.7,0,3,Default,High,False,Unknown
PIA,2.343,-0.1,61.7,49.5,7,4,High,High,False,McLaren
RIC,0.0,0.0,50.0,50.0,0,2,Default,High,False,Unknown
RUS,1.543,-4.8,57.7,26.0,7,4,High,High,False,Mercedes
SAI,-1.371,-1.3,43.1,43.5,7,4,High,High,False,Williams
SAR,0.0,-2.4,50.0,38.0,0,2,Default,High,False,Unknown
STR,-0.333,1.1,48.3,55.5,6,4,High,High,False,Aston Martin
TSU,0.629,-3.5,53.1,32.5,7,4,High,High,False,Red Bull Racing
VER,0.457,6.4,52.3,82.0,7,4,High,High,False,Red Bull Racing
ZHO,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
