Driver,dry_performance_factor,wet_performance_factor,dry_performance_factor_normalized,wet_performance_factor_normalized,dry_races_count,wet_races_count,dry_confidence,wet_confidence,is_rookie,team
ALB,-1.143,-4.1,44.3,29.5,7,4,High,High,False,Williams
ALO,-1.486,-0.9,42.6,45.5,7,4,High,High,False,Aston Martin
ANT,-4.457,11.6,27.7,100.0,7,1,High,Low,False,Mercedes
BEA,1.714,3.6,58.6,68.0,7,2,High,High,False,Haas F1 Team
BOR,-0.171,-0.8,49.1,46.0,7,1,High,Low,False,Kick Sauber
BOT,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
COL,0.4,-0.8,52.0,46.0,5,1,High,Low,False,Alpine
DOO,-2.4,-4.0,38.0,30.0,2,1,Low,Low,False,Alpine
GAS,-1.6,3.4,42.0,67.0,7,4,High,High,False,Alpine
HAD,1.429,-7.2,57.1,14.0,7,1,High,Low,False,Racing Bulls
HAM,3.371,3.4,66.9,67.0,7,4,High,High,False,Ferrari
HUL,4.4,3.8,72.0,69.0,7,4,High,High,False,Kick Sauber
LAW,0.857,-0.2,54.3,49.0,7,2,High,High,False,Racing Bulls
LEC,3.943,-1.2,69.7,44.0,7,4,High,High,False,Ferrari
MAG,0.0,2.8,50.0,64.0,0,2,Default,High,False,Unknown
NOR,1.2,0.8,56.0,54.0,7,4,High,High,False,McLaren
OCO,2.229,4.8,61.1,74.0,7,4,High,High,False,Haas F1 Team
PER,0.0,0.533,50.0,52.7,0,3,Default,High,False,Unknown
PIA,2.343,-0.1,61.7,49.5,7,4,High,High,False,McLaren
RIC,0.0,0.0,50.0,50.0,0,2,Default,High,False,Unknown
RUS,1.371,-4.8,56.9,26.0,7,4,High,High,False,Mercedes
SAI,1.257,-1.3,56.3,43.5,7,4,High,High,False,Williams
SAR,0.0,-2.4,50.0,38.0,0,2,Default,High,False,Unknown
STR,-0.333,1.1,48.3,55.5,6,4,High,High,False,Aston Martin
TSU,0.857,-3.5,54.3,32.5,7,4,High,High,False,Red Bull Racing
VER,-1.886,6.4,40.6,82.0,7,4,High,High,False,Red Bull Racing
ZHO,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
