Driver,dry_performance_factor,wet_performance_factor,dry_performance_factor_normalized,wet_performance_factor_normalized,dry_races_count,wet_races_count,dry_confidence,wet_confidence,is_rookie,team
ALB,-1.143,-0.24,44.3,48.8,7,5,High,High,False,Williams
ALO,-1.486,-0.72,42.6,46.4,7,5,High,High,False,Aston Martin
ANT,-4.457,2.267,27.7,61.3,7,3,High,High,False,Mercedes
BEA,1.714,3.4,58.6,67.0,7,4,High,High,False,Haas F1 Team
BOR,-0.171,0.267,49.1,51.3,7,3,High,High,False,Kick Sauber
BOT,0.0,-0.4,50.0,48.0,0,2,Default,High,False,Unknown
COL,0.4,-1.333,52.0,43.3,5,3,High,High,False,Alpine
DOO,-2.4,-4.0,38.0,30.0,2,1,Low,Low,False,Alpine
GAS,-1.6,3.12,42.0,65.6,7,5,High,High,False,Alpine
HAD,1.429,-8.533,57.1,7.3,7,3,High,High,False,Racing Bulls
HAM,3.371,4.4,66.9,72.0,7,5,High,High,False,Ferrari
HUL,4.4,5.36,72.0,76.8,7,5,High,High,False,Kick Sauber
LAW,0.857,-0.1,54.3,49.5,7,4,High,High,False,Racing Bulls
LEC,3.943,-1.2,69.7,44.0,7,5,High,High,False,Ferrari
MAG,0.0,4.0,50.0,70.0,0,1,Default,Low,False,Unknown
NOR,1.2,1.04,56.0,55.2,7,5,High,High,False,McLaren
OCO,2.229,1.68,61.1,58.4,7,5,High,High,False,Haas F1 Team
PER,0.0,1.6,50.0,58.0,0,2,Default,High,False,Unknown
PIA,2.343,0.8,61.7,54.0,7,5,High,High,False,McLaren
RIC,0.0,1.6,50.0,58.0,0,1,Default,Low,False,Unknown
RUS,1.371,-4.16,56.9,29.2,7,5,High,High,False,Mercedes
SAI,1.257,-1.28,56.3,43.6,7,5,High,High,False,Williams
SAR,0.0,0.8,50.0,54.0,0,1,Default,Low,False,Unknown
STR,-0.333,2.32,48.3,61.6,6,5,High,High,False,Aston Martin
TSU,0.857,-3.44,54.3,32.8,7,5,High,High,False,Red Bull Racing
VER,-1.886,4.32,40.6,71.6,7,5,High,High,False,Red Bull Racing
ZHO,0.0,0.0,50.0,50.0,0,2,Default,High,False,Unknown
