Driver,dry_performance_factor,wet_performance_factor,dry_performance_factor_normalized,wet_performance_factor_normalized,dry_races_count,wet_races_count,dry_confidence,wet_confidence,is_rookie,team
ALB,3.657,-4.1,68.3,29.5,7,4,High,High,False,Williams
ALO,-3.371,-0.9,33.1,45.5,7,4,High,High,False,Aston Martin
ANT,-1.257,11.6,43.7,100.0,7,1,High,Low,False,Mercedes
BEA,4.4,3.6,72.0,68.0,7,2,High,High,False,Haas F1 Team
BOR,-0.229,-0.8,48.9,46.0,7,1,High,Low,False,Kick Sauber
BOT,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
COL,2.0,-0.8,60.0,46.0,2,1,Low,Low,False,Alpine
DOO,-0.0,-4.0,50.0,30.0,5,1,High,Low,False,Alpine
GAS,-2.857,3.4,35.7,67.0,7,4,High,High,False,Alpine
HAD,0.457,-7.2,52.3,14.0,7,1,High,Low,False,Racing Bulls
HAM,1.886,3.4,59.4,67.0,7,4,High,High,False,Ferrari
HUL,-0.0,3.8,50.0,69.0,7,4,High,High,False,Kick Sauber
LAW,0.914,-0.2,54.6,49.0,7,2,High,High,False,Racing Bulls
LEC,0.229,-1.2,51.1,44.0,7,4,High,High,False,Ferrari
MAG,0.0,2.8,50.0,64.0,0,2,Default,High,False,Unknown
NOR,4.057,0.8,70.3,54.0,7,4,High,High,False,McLaren
OCO,2.229,4.8,61.1,74.0,7,4,High,High,False,Haas F1 Team
PER,0.0,0.533,50.0,52.7,0,3,Default,High,False,Unknown
PIA,2.343,-0.1,61.7,49.5,7,4,High,High,False,McLaren
RIC,0.0,0.0,50.0,50.0,0,2,Default,High,False,Unknown
RUS,1.371,-4.8,56.9,26.0,7,4,High,High,False,Mercedes
SAI,-0.857,-1.3,45.7,43.5,7,4,High,High,False,Williams
SAR,0.0,-2.4,50.0,38.0,0,2,Default,High,False,Unknown
STR,0.571,1.1,52.9,55.5,7,4,High,High,False,Aston Martin
TSU,-1.257,-3.5,43.7,32.5,7,4,High,High,False,Red Bull Racing
VER,1.657,6.4,58.3,82.0,7,4,High,High,False,Red Bull Racing
ZHO,0.0,1.333,50.0,56.7,0,3,Default,High,False,Unknown
